CODIGO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
28040100,0,0,0,0,6,3,0,7,5,21,0,0,0,0,0,0,0,0,28,0,20,35,0,0,0,0,0,0,0,0,0
15010501,1,0,0,0,0.7,0,0.2,0.5,8.2,0,7.4,0.5,0,0,0.5,0,0,0,0,0.6,0,9.5,1.3,2,6.6,13,0,0,1.5,0,31.7
15010300,0,0,28,0,0,0,0,0,25,2,0,3.6,40,0,8,0,0,94,,6,0,0,5,11,0,0,0,27,12,0,7.5
25021240,11,0,0,0,5,0,10,31,40,0,0,0,8,10,0,0,0,0,0,20,20,0,20,0,0,0,0,0,0,30,7
29060170,0,0,0,0,0,32,0,10,0,35.1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
29060210,33,0,10,0,0,0,0,7.4,3.2,8.1,0,0,0,0,18,0,0,0,0,0,66.3,6.7,0.8,0.5,0,0,11.2,0,1.1,0,3.6
25020220,0,0,0,31,0,0,0,0,16,0,0,0,0,0,0,0,,0,14,0,6,0,18,0,0,0,0,0,,36,0
25021500,0,0,0,2,0,0,24,2,10,0,0,0,8,0,4,0,0,0,3,0,0,30,0,0,0,0,17,0,0,36,0
29065000,0,0,0,4,0,0,4,0,37,2,5,5,5,0,0,0,0,0,0,0,7,59,0,0,0,,,0,0,0,0
28010040,0,1,8,0,36,21,50,25,8,10,,9,3,0,2,0,8,1,2,5,10,3,3,21,1,0,0,0,21,10,0
25021630,4,0,0,35,0,0,4,6,0,,0,0,0,0,0,0,0,0,0,6,0,0,45,0,0,30,0,0,30,19,0
28035020,0,0,,55.2,0,29,20,,,10.5,,0,40.4,0,0,0,0,,13.4,1.4,11.8,0,6.6,0,0,0,0,15,0,10,0
28035010,10,9,0,16,0,,1,4,0,4,2,0,19,0,12,0,0,0,35,10,2,42,12,1,0,0,0,0,0,22,4
15085020,0,0,0,0,0,0.2,38.7,0,17.9,4.9,0,0,0,0,0,0,0,0,0,1.2,1.7,0,0,0,0,0,0,0.2,0,0,14.8
28010370,0,0,0,50,0,20,0,20,3,24,0,0,22,0,0,0,0,0,28,0,0,0,0,9,0,0,0,0,0,0,0
25020690,18,0,0,0,0,0,0,0,20,,0,0,0,0,0,0,0,0,,15,38,0,0,,0,0,0,0,0,17,16
29060540,0,,0,0,0,0,40,20,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
28040140,0,0,5,9,0,0,0,23,0,18,0,0,0,0,0,18,0,8,4,0,31,30,0,0,0,0,0,0,0,0,0
29060270,0,14,16,0,0,34,,,,36,11,0,0,0,,0,0,,0,0,61,,8,0,0,0,0,0,0,,20
28040150,0,0,26.7,0,0,7.7,2.5,2,0,0,,0,0,0,0,0,0,0,0,3,0,1.7,0,0,0,0,0,0,,0,0
29060100,0,9,4,0,0,23,19,73,24,18,0,0,0,0,0,0,0,0,0,64,29,6,0,0,0,0,0,0,0,15,0
15070070,0,0,0,0,,0,,10,,0,0,0,0,0,0,0,,0,0,13,0,0,0,0,0,0,,0,0,0,0
15080070,0,0,0,0,20,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
15010020,0,0,35,0,0,0,0,0,50,20,0,22,35,0,15,0,0,45,5,20,0,0,18,10,0,0,0,36,37,0,0
25020240,4,0,0,5,,0,0,10,10,0,0,0,7,0,0,,0,0,0,34,5,0,18,0,0,,0,0,0,10,0
28010090,0,3.9,8.3,0,0,4.5,10.4,0,8.3,0,0,0,20.9,0,0,0,0,0,0,20,17.2,9.2,5.2,0,0,0,0,0,0,0,0
25020090,5,0,0,55,0,0,9,18,24,0,7,0,0,53,0,0,0,15,5,0,5,0,3,0,4,5,0,0,0,20,0
28040300,0,0,0,6,5,0,0,15,20,46,0,0,0,0,0,0,0,0,37,7,21,0,0,0,0,0,0,0,0,2,0
