CODIGO,date,value
2120182,2025-04-30,0.5
2120168,2025-04-30,0
2401037,2025-04-30,0
2401515,2025-04-30,0
2120540,2025-04-30,0
2306040,2025-04-30,5
2120077,2025-04-30,0
2123007,2025-04-30,2.4
2401534,2025-04-30,1.4
26030150,2025-04-30,38.3
26020030,2025-04-30,0
25025080,2025-04-30,0
29015000,2025-04-30,95
29030050,2025-04-30,12
25025170,2025-04-30,1.7
25020140,2025-04-30,0
29040240,2025-04-30,0
29040230,2025-04-30,0
25025160,2025-04-30,0
25021350,2025-04-30,0
25025190,2025-04-30,12.2
29040310,2025-04-30,0
25020470,2025-04-30,3
12030010,2025-04-30,4
29035110,2025-04-30,32
14010050,2025-04-30,0
29035080,2025-04-30,3
14010010,2025-04-30,0
29040260,2025-04-30,0
29040250,2025-04-30,0
25021280,2025-04-30,87
29040300,2025-04-30,15
14010020,2025-04-30,0
29040020,2025-04-30,18.5
25020700,2025-04-30,0
25020960,2025-04-30,0
13015040,2025-04-30,63.2
29035040,2025-04-30,0
13090050,2025-04-30,0
13085010,2025-04-30,86.6
13075020,2025-04-30,0.3
13090040,2025-04-30,0
25025270,2025-04-30,1
13085030,2025-04-30,0
25025380,2025-04-30,120
12045020,2025-04-30,0
29040450,2025-04-30,0.1
25020760,2025-04-30,0
25025210,2025-04-30,140.4
25020950,2025-04-30,0
13075010,2025-04-30,28.4
12045010,2025-04-30,4
13030010,2025-04-30,0.1
25021370,2025-04-30,79
29035030,2025-04-30,0
29035000,2025-04-30,0
25025240,2025-04-30,95
29060090,2025-04-30,0
28040030,2025-04-30,37
28015070,2025-04-30,0
28040010,2025-04-30,20
28010360,2025-04-30,95
15060180,2025-04-30,2
15060040,2025-04-30,20
25020250,2025-04-30,18
15030010,2025-04-30,11
25021600,2025-04-30,0
1506500197,2025-04-30,0
28010340,2025-04-30,
15045010,2025-04-30,25.2
15075030,2025-04-30,0
15085030,2025-04-30,2.4
2804500195,2025-04-30,1.1
29060040,2025-04-30,0
25025002,2025-04-30,35
15075501,2025-04-30,
15010010,2025-04-30,0
15065501,2025-04-30,
1501500196,2025-04-30,5.3
28040100,2025-04-30,0
29050020,2025-04-30,
15010501,2025-04-30,0
15010300,2025-04-30,0
25021240,2025-04-30,130
29060170,2025-04-30,0
29060210,2025-04-30,0
25020220,2025-04-30,43
25021500,2025-04-30,45
28010040,2025-04-30,0
25021630,2025-04-30,
28035020,2025-04-30,0
28035010,2025-04-30,22
15085020,2025-04-30,0
28010370,2025-04-30,30
25020690,2025-04-30,18
29060540,2025-04-30,0
28040140,2025-04-30,0
29060270,2025-04-30,0
28040150,2025-04-30,0
29060100,2025-04-30,0
15070070,2025-04-30,0
15080070,2025-04-30,0
15010020,2025-04-30,10
25020240,2025-04-30,68
28010090,2025-04-30,3
25020090,2025-04-30,55
28040300,2025-04-30,48
17020020,2025-04-30,0
1704500201,2025-04-30,0
23190140,2025-04-30,4
23195180,2025-04-30,5
24025040,2025-04-30,
23100050,2025-04-30,0
23190350,2025-04-30,0
23145020,2025-04-30,12
16055060,2025-04-30,0.5
24010230,2025-04-30,1.7
24010640,2025-04-30,22.7
24040050,2025-04-30,4
16055010,2025-04-30,46
16055040,2025-04-30,2.5
23190700,2025-04-30,8.2
23125120,2025-04-30,22.5
24030210,2025-04-30,1.5
16015020,2025-04-30,0
24025020,2025-04-30,7.7
23180070,2025-04-30,4.8
16010010,2025-04-30,0
24020130,2025-04-30,35
37020030,2025-04-30,55
37035010,2025-04-30,40.7
23180020,2025-04-30,63
16025040,2025-04-30,0
23190600,2025-04-30,2
16035030,2025-04-30,0
16020010,2025-04-30,0
16025030,2025-04-30,0.5
16025010,2025-04-30,1.2
24010650,2025-04-30,5.1
24010660,2025-04-30,17
16020080,2025-04-30,3.2
16030080,2025-04-30,0
23190110,2025-04-30,13.5
24020120,2025-04-30,7.1
37010020,2025-04-30,0
23190500,2025-04-30,22
23215050,2025-04-30,98.9
16015100,2025-04-30,2
24030950,2025-04-30,2.5
23205030,2025-04-30,27.5
24010750,2025-04-30,0
24015250,2025-04-30,0
23125060,2025-04-30,2
23125040,2025-04-30,0
23155040,2025-04-30,0
24015260,2025-04-30,2.8
23130010,2025-04-30,2.2
23210020,2025-04-30,44
24020040,2025-04-30,12.8
24010820,2025-04-30,4
37010010,2025-04-30,4
37020020,2025-04-30,1.7
24055040,2025-04-30,5.7
23195090,2025-04-30,6.5
24011070,2025-04-30,0
16035010,2025-04-30,0
23200010,2025-04-30,30
24010760,2025-04-30,2.2
24010670,2025-04-30,4.5
16030090,2025-04-30,0
24020080,2025-04-30,32.6
23205020,2025-04-30,31.6
23160010,2025-04-30,3
24055030,2025-04-30,6
25020970,2025-04-30,6
37015020,2025-04-30,0.6
24035400,2025-04-30,2
23190440,2025-04-30,0
24030340,2025-04-30,6.5
37050050,2025-04-30,0
16010110,2025-04-30,0
23195110,2025-04-30,1.1
24050100,2025-04-30,7
37050010,2025-04-30,6
24030270,2025-04-30,8.6
16030140,2025-04-30,0
16020140,2025-04-30,0
